vini,0,1,0
marney,9,17,26
hh,0,3,0
rafael,0,0,0
coisa e tal,14,2,21
asd,2,1,2
das,7,1,7
asdadads,0,0,0
dsadas,0,0,0
asdasdadad,4,2,4
asdasdadsa,0,0,0
asdasd,2,2,2
ads,0,1,0
dsadsdadadsasd,4,1,4
dsa,19,5,26
asdads,16,4,20
coisa,27,3,31
asdas,21,1,21
asdadsadadasdads,4,1,4
asdadasdasda,6,1,6
asdadasdas,3,2,4
asdasda,4,1,4
asdadadadasd,5,1,5
asdasdas,16,2,21
asdasdsd,0,0,0
asdasdd,0,0,0
coisasetal,2,1,2
asdadasd,0,0,0
asdac,4,1,4
dasdas,0,1,0
asdadasdad,0,0,0
asdasdasdas,0,0,0
asdadadas,0,0,0
adsadadadasdad,0,0,0
asdada,146,2,151
ASDADASDAS,0,0,0
asdadadasd,6,3,10
asdadsasda,5,1,5
kadsda,0,0,0
sdadas,20,2,26
asdasdasddas,0,1,0
asdasdad,0,1,0
podaspod,20,1,20
pdsa,13,1,13
asdad,17,1,17
asdasdasda,18,2,27
ggg,0,1,0
Marney,5,13,5
aa,0,6,0
m,0,5,0
g,0,1,0
